Issue Type,Summary,Description,Sprint Period
"Story","Como desenvolvedor, quero analisar a fundo o Manual CNAB 240 SISPAG para entender a estrutura dos arquivos e segmentos principais.","","Semana 1 e 2"
"Sub-task","Revisar e documentar estrutura/campos do Header de Arquivo (Registro 0).","Subtarefa da Story: Como desenvolvedor, quero analisar a fundo o Manual CNAB 240 SISPAG para entender a estrutura dos arquivos e segmentos principais.","Semana 1 e 2"
"Sub-task","Revisar e documentar estrutura/campos do Trailer de Arquivo (Registro 9).","Subtarefa da Story: Como desenvolvedor, quero analisar a fundo o Manual CNAB 240 SISPAG para entender a estrutura dos arquivos e segmentos principais.","Semana 1 e 2"
"Sub-task","Revisar e documentar estrutura/campos do Header de Lote (Registro 1 - Foco em Fornecedores/Salários).","Subtarefa da Story: Como desenvolvedor, quero analisar a fundo o Manual CNAB 240 SISPAG para entender a estrutura dos arquivos e segmentos principais.","Semana 1 e 2"
"Sub-task","Revisar e documentar estrutura/campos do Trailer de Lote (Registro 5 - Foco em Fornecedores/Salários).","Subtarefa da Story: Como desenvolvedor, quero analisar a fundo o Manual CNAB 240 SISPAG para entender a estrutura dos arquivos e segmentos principais.","Semana 1 e 2"
"Sub-task","Detalhar estrutura/campos do Segmento A (Pagamentos Crédito C/C, DOC, TED, PIX).","Subtarefa da Story: Como desenvolvedor, quero analisar a fundo o Manual CNAB 240 SISPAG para entender a estrutura dos arquivos e segmentos principais.","Semana 1 e 2"
"Sub-task","Detalhar estrutura/campos do Segmento B (Dados complementares PIX e Aviso).","Subtarefa da Story: Como desenvolvedor, quero analisar a fundo o Manual CNAB 240 SISPAG para entender a estrutura dos arquivos e segmentos principais.","Semana 1 e 2"
"Sub-task","Detalhar estrutura/campos do Segmento J (Pagamento de Títulos/Boletos).","Subtarefa da Story: Como desenvolvedor, quero analisar a fundo o Manual CNAB 240 SISPAG para entender a estrutura dos arquivos e segmentos principais.","Semana 1 e 2"
"Sub-task","Detalhar estrutura/campos do Segmento J-52 (Dados complementares de Títulos/Boletos).","Subtarefa da Story: Como desenvolvedor, quero analisar a fundo o Manual CNAB 240 SISPAG para entender a estrutura dos arquivos e segmentos principais.","Semana 1 e 2"
"Sub-task","(Opcional) Detalhar Segmentos N e O (Tributos).","Subtarefa da Story: Como desenvolvedor, quero analisar a fundo o Manual CNAB 240 SISPAG para entender a estrutura dos arquivos e segmentos principais.","Semana 1 e 2"
"Story","Como desenvolvedor, quero definir a arquitetura inicial do projeto Node.js e os modelos de dados para iniciar o desenvolvimento.","","Semana 1 e 2"
"Sub-task","Definir e criar a estrutura de pastas do projeto (controllers, services, utils, config, etc.).","Subtarefa da Story: Como desenvolvedor, quero definir a arquitetura inicial do projeto Node.js e os modelos de dados para iniciar o desenvolvimento.","Semana 1 e 2"
"Sub-task","Escolher e configurar o framework da API (Ex: Express.js).","Subtarefa da Story: Como desenvolvedor, quero definir a arquitetura inicial do projeto Node.js e os modelos de dados para iniciar o desenvolvimento.","Semana 1 e 2"
"Sub-task","Definir modelos de dados iniciais para a requisição da API (ex: Payload para Pagamento de Fornecedor via Crédito C/C).","Subtarefa da Story: Como desenvolvedor, quero definir a arquitetura inicial do projeto Node.js e os modelos de dados para iniciar o desenvolvimento.","Semana 1 e 2"
"Sub-task","Definir estruturas/interfaces internas para representar os dados dos Segmentos CNAB.","Subtarefa da Story: Como desenvolvedor, quero definir a arquitetura inicial do projeto Node.js e os modelos de dados para iniciar o desenvolvimento.","Semana 1 e 2"
"Story","Como desenvolvedor, quero configurar o ambiente de desenvolvimento padrão para o projeto.","","Semana 1 e 2"
"Sub-task","Inicializar o projeto Node.js (`package.json`).","Subtarefa da Story: Como desenvolvedor, quero configurar o ambiente de desenvolvimento padrão para o projeto.","Semana 1 e 2"
